timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2018-10-05,5,0,2,4,85.23101084560315,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.0170855485740801
2018-10-06,4,0,1,2,62.83722013526409,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.3522230780527284
2018-10-07,2,0,0,1,19.339850002884624,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.0031892924620478
2018-10-08,4,0,1,2,23.986192980475312,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.9336537713543472
2018-10-09,5,0,1,6,73.62055329364145,0.820347885909671,-0.6048151289613374,0.1092201825464417,0.630241103404733,-0.190843538474587
2018-10-10,4,0,1,4,85.84985655931253,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.2344122285827918,-0.0078241231055793
2018-10-11,4,0,2,5,97.33319424710234,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.1640314359926892
2018-10-12,3,0,2,6,146.33237554527767,-0.944608943336702,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.8973358050098198
2018-10-13,3,0,0,4,30.30950454155061,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-0.2344122285827918,-0.8390213331881665
2018-10-14,3,0,2,4,40.08794783072074,-0.944608943336702,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.6926806189933822
2018-10-15,4,0,1,4,55.58532132248861,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.2344122285827918,-0.4607524236905183
2018-10-16,4,0,2,6,95.08152817232931,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.130333800104634
2018-10-17,5,0,2,5,108.08369360024707,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.3249195964867184
2018-10-18,5,0,2,5,87.53997005821272,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.0174695160949697
2018-10-19,5,0,3,5,166.1737885665863,0.820347885909671,-0.6048151289613374,2.225529769048174,0.1979144374109706,1.1942753552333012
2018-10-20,5,0,2,4,178.62175456802265,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,1.3805671995537674
2018-10-21,4,0,2,5,67.17702933525572,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.2872750327437935
2018-10-22,3,0,1,3,98.58257699858436,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,0.1827292551391192
2018-10-23,4,1,2,6,175.07110486288116,-0.0621305287135154,0.97333507038167,1.1673749757973078,0.630241103404733,1.3274294353575602
2018-10-24,5,0,3,4,152.67266003047567,0.820347885909671,-0.6048151289613374,2.225529769048174,-0.2344122285827918,0.9922222539387195
2018-10-25,5,0,2,3,132.77282306099715,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,0.6944083516278535
2018-10-26,4,0,1,3,151.6156489302377,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,0.9764034006973296
2018-10-27,4,0,1,3,88.03211443797407,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,0.0248347743361246
2018-10-28,3,0,1,1,38.308276758592726,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-1.5313922265640791,-0.7193145450719282
2018-10-29,4,0,2,6,183.51579189560096,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,1.453809626454883
2018-10-30,5,0,2,6,130.0104070893503,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.6530670139282628
2018-10-31,5,0,2,6,160.91286359609876,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,1.1155422179905878
2018-11-01,4,0,2,6,144.87578827577073,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.8755370365348055
2018-11-02,4,0,2,7,124.5726644707802,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.571687686475365
2018-11-03,4,0,2,4,96.664217329868,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,0.1540197647120136
2018-11-04,4,0,1,2,30.61956822354297,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.8343810300921839
2018-11-05,5,0,3,7,246.6737120181148,0.820347885909671,-0.6048151289613374,2.225529769048174,1.0625677693984954,2.399008659108904
2018-11-06,5,0,2,4,215.3067492488267,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,1.9295818190654928
2018-11-07,5,0,2,5,170.2594094990342,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,1.2554193090818415
2018-11-08,5,0,2,5,171.2706153880687,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,1.2705526577778627
2018-11-09,5,1,2,5,137.30325625358566,0.820347885909671,0.97333507038167,1.1673749757973078,0.1979144374109706,0.7622092080023475
2018-11-10,5,0,2,3,38.1269533504104,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,-0.7220281668897305
2018-11-11,1,0,0,3,27.064408278516726,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.8875862929388824
